Common Name,Botanical Name,Family,Description
Cathedral Window Haworthia,Haworthia cymbiformis,Asphodelaceae," Cathedral Window Haworthia is a fleshy, ground
covering plant which is relatively small in size, with clusters of the
plant reaching a height of 6 inches. Cathedral Window Haworthia has
rosettes of evergreen leaves. The leaves are fleshy and often light
green in colour. The leaves further have the striking characteristic
that their ends are translucent. The whitish flowers are long and
tubular with thin stems. These plants are able to grow relatively fast,
with the growth rate greatly influenced by factors such as water
availability, supplementary feeding and suitability of the environment.
Cathedral Window Haworthia  is native to Cape Province, Africa,
cultivated elsewhere. 
"
Bates Haworthia,Haworthia marumiana var. batesiana,Asphodelaceae," Bates Haworthia is a small variety of Haworthia with a
noticeable pattern of branching venation veins on the upper surface of
its bright green  leaves. It is named for George Latimer Bates, 20th
century American ornithologist and botanist in West Africa.  The plants
with small rosettes, 5-8 cm,  quickly produce offsets, form a nice
clump in a couple years. Flowers are 2.5 cm long, white with light pink
to brownish or greenish mid-stripe on the petals, on a wiry stem up to
20 cm tall. Small number of blossoms arise on each stem, but a large
clump produces many stems. The plant does well in light shade or with
some sun, which seems to encourage more flower production. The plant is
good in shallow containers, and don't mind being quite crowded, but one
has to withhold water.	Bates Haworthia is native to  is South Cape
Province in Africa, cultivated worldwide. 
"
Pygmy Hawforthia,Haworthia pygmaea,Asphodelaceae," Pygmy Hawforthia is a small succulent plant that can
grows either solitary or in clumps 10 cm in diameter. Triangular leaves
lie in a rosette at the base, and the flowers are borne in a long
slender leafless stem. This species can be distinguished, from its
relatives, by its flat leaf bases which have more rounded tips, and a
grey color. White flowers with greenish veins arise on a foot long
slender stem. Pygmy Hawforthia is endemic to the Mossel Bay area of the
Western Cape, South Africa.  It is cultivated as a succulent plant. 
"
Fairies Washboard Haworthia,Haworthiopsis limifolia,Asphodelaceae," Fairies Washboard Haworthia is a robust plant, with
larger rosettes - which grow to about 5 inches across, with broadly
triangular leaves arranged in a pinwheel-like rosette. The leaves bear
series of distinctive, pronounced ridges, which accounts for both its
common name ""Fairies Washboard"". This plant grows rather quickly, so
that in about 3-4 years, a single rosette will produce enough offsets
to densely pack a 12 inch bowl. Flowers are small, white and
bell-shaped on long stems. The species and its varieties have a rather
wide distribution - they are native to Mozambique, Swaziland, and South
Africa, with a number of recognized varieties and regional forms.  
"
Common Ivy,Hedera helix,Araliaceae," Common Ivy is an evergreen woody climber with
distinct juvenile and mature leaves. The juvenile stage usually has
lobed leaves and rooting stems, and the mature stage has rootless,
flowering shoots with unlobed leaves. Stems are purple-green. Juvenile
leaves are dark green, leathery, 3-5-lobed, the two basal lobes are
reduced in size to give the typical ivy-leaf shape. Leaves are dotted
with white, star-shaped hairs. Adult leaves are unlobed, markedly
narrower on shoots exposed to light. Flowers are borne in spherical
clusters, each held on a flower-cluster-stalk, with a proteinaceous
scent. Flowers, small greenish-yellow,	are very rich in nectar, an
important food source for bees and other insects.  Fruits are
yellow-orange to black berries, up to 6-8 mm  in diameter, each
containing five seeds. Common Ivy is native to Europe, and is
cultivated in colder parts of India. 
"
Himalayan Ivy,Hedera nepalensis,Araliaceae," Himalayan Ivy is a woody climber, up to 30 m long, climbing into tall 
trees by aerial roots. Leaves are ovate to lanceshaped, leathery, 
dark-green, glossy, 5-15 cm long. Young leaves are 3-5-lobed, ivy-like. 
Flowers are tiny, many, yellowish-green, ins talked spherical umbels 1.5-2 
cm across, which are arranged in domed clusters up to 8 cm across. Flowers 
have 5 elliptic petals, 3 mm long, mostly turned backwards. In the buds, 
the petals are placed edge-to-edge. Fruit is round, about 6 mm, shining 
yellow, turning black. Himalayan Ivy is found in the Himalayas, from 
Afghanistan to SW China and Burma, at altitudes of 1800-3000 m.
Flowering: September-October. "
Orange Ginger Lily,Hedychium coccineum,Zingiberaceae," Orange Ginger lily is a plant found in the Himalayas which
produces beautiful orange bottle-brush like spikes of orange flowers. Flowers
are very showy, bright orange-red, many in a long upright spike up to a foot
long, each with a long-projecting stamen. The stamen has bright red filament,
twice as long as the linear petals. Leaves are sheathing at the base, with
long lance-shaped blade, 5-8 cm broad and up to 45 cm long. Stem can grow to 2
m. Orange Ginger lily is found growing wild in the Himalayas and in the NE
India, at altitudes of 450-2000 m. Flowering: July-August.  "
Hardy Ginger Lily,Hedychium densiflorum,Zingiberaceae," Hardy Ginger Lily is a perennial herb with pseudostems 1-1.2 m tall. Leaves are oblong, long-pointed, up to a foot long, hairless beneath. 
Flowers are orange to orange-cream, in long erect dense spikes. Bracts are 
small, oblong, rolled tightly around the sepal cup, 2.5 cm long. 
Flower-tube is 2.5-3.75 cm long. Staminodes are lanceshaped. Lip is wedge-
shaped, deeply 2-lobed. Stamens are as long as the lip, with orange-yellow 
filament and linear anther.Hardy Ginger Lily is found in the Himalayas, 
from C. Nepal to Arunachal Pradesh, at altitudes of 1800-2800 m. Flowering: July-August. "
Yellow Ginger Lily,Hedychium flavescens,Zingiberaceae," Yellow Ginger Lily is a coarse perennial herb with leafy shoots 1.5-2 m 
tall. It is found in the East Himalayas, at altitudes of 1200-2000 m.  
Rhizomes are 3 cm in diameter, branched, internally pale and 
fragrant.  Leaves are oblong to lance-shaped, 20-45 cm long, 5-10 cm wide. 
Flowers are fragrant, borne in erect inflorescences, 15-20 cm long, 8 cm 
wide, primary bracts green. Sepal cup is cylindrical, 4-5 cm long, velvety 
or rarely smooth. Flowers are yellow, on the paler side. The flower tube 
is slender, 8-9 cm long, petals linear to linear-lanceshaped, 4-5 cm long. 
Lip is often centrally flushed with dark yellow, broadly obovate. Stamen 
is yellow, about as long as the lip or slightly longer. Lateral sterile 
stamens are white, spatula-shaped to lance-shaped 4-6 cm long. 
Flowering: July-October. "
Dainty Ginger Lily,Hedychium gracile,Zingiberaceae," Dainty Ginger Lily	is an erect herb with leafy
stem 2-3 ft tall with 5-10 cm long dainty spikes of greenish-white
flowers with long red stamens. Bracts are 1.2 cm long green, cylindric,
thin, smooth. Sepal cup is a little longer than the bract. Flower tube
is 2.5 cm long, very slender. White petals are linear, nearly as long
as the tube. Staminodes are very narrow, shorter than the petals. Lip
is 1.2 cm, distinctly clawed. Stamen filament is 2.5 cm long, bright
red, anther linear. Leaves are oblong-lanceshaped, 12.5-15 cm long, 3-5
cm wide, thin, hairless. Capsule is spherical, the size of a pea.
Dainty Ginger Lily  is found in eastern Himalayas, from Assam to
Thailand, at altitudes of 1000-2000 m. "
Scarlet Ginger,Hedychium greenii,Zingiberaceae," Scarlet Ginger  is a wonderful 3-4 ft tall ginger that
is considered the the most attractive of the genus. The dark green
leaves, oblong pointed, have a reddish underside. The plant clumps
carry small scarlet red flowers at the top. Scarlet Ginger produces
small plantlets where the flowers fade. One can pull off these
plantlets after they mature a bit, and sow them in the soil about an
inch, and they will root readily forming new plants. Scarlet Ginger is
native to Eastern Himalayas, but is now grown as a garden plant
worldwide.  
"
Yellow Butterfly Ginger,Hedychium marginatum,Zingiberaceae," Yellow Butterfly Ginger is a perennial rhizome
forming herb. Leafy shoots are 1-1.5 m tall, slanting. Leaves are
15-22, stalkless, 5.7-10.0 cm apart, spreading. Leaves are 24.2-30.6 x
6.0-6.5 cm, elliptic-inverted-lanceshaped, dark green and smooth above,
pale green (pale pink tinged towards base on lower leaves) and silky
below. Margin is translucent, pale pink tinged; tip twisted,
long-pointed, base blunt. Inflorescence is 6.5-10.0 cm long, elliptic,
dense. Bracts are 3.9 x 1.6 cm, spoon-shaped, boat-shaped, green with
red tinge.  Cincinnus are 2-4 -flowered. Bracteoles about 1.6 x 1.0 cm,
white with red tinge. Flowers are 9.8-10.2 cm long, lemon-yellow,
turning to a much darker shade on the second day, spreading. About 4-8
flowers are open at a time. Sepal tube is 3.4-3.5 cm long, about 2.5 mm
wide at mouth, pale greenish-yellow with red tinge. Flower-tube is
6.5-6.6 cm long, about 3 mm wide at mouth, lemon-yellow, whitish
towards base, slightly arching, smooth externally, hairy internally
along the margin of filament groove, hairs downwardly directed. Petals
are lemon-yellow, membranous, drooping from flower, hairless, margin
rolled inside, slightly coiled like an expanded spring. Dorsal petals
is 3.5-3.6 cm long, about 0.4 cm wide, 1.5-2.0 mm long beaked at tip.
Lateral petals are 3.1-3.3 x 0.4 cm, non-beaked at tip. Lip is 2.6-2.7
x 1.7 cm, obovate, lemon-yellow, upper half reflexed back spreading on
flower, gradually clawed at base; claw about 5 mm wide; sinus 8-9 mm
deep; lobes obtuse at tip; outer margin undulate. Stamens are 3.7-3.8
cm long, filament 2.6-2.7 cm long, about 1.5 mm wide at base,
lemon-yellow, slightly arching; anthers about 1.2 x 0.3 cm, oblong,
lemon-yellow, oblong, lobes parallel. Yellow Butterfly Ginger is native
to NE India. "
White Star Ginger,Hedychium stenopetalum,Zingiberaceae," White Star Ginger is perennial herb with leafy shoots
over 2 m. Leaves are linear lanceshaped to oblong lanceshaped,
tapering, stalkless, 40-70 x 7-15 cm, densely hairy beneath; ligule
1.5-2cm, velvet-hairy. Bracts are markedly diverging, oblong,
convolute, 3.5-5cm, leathery, each subtending 3-5 white flowers. Calyx
is up to 3.5cm, velvet-hairy. Flower tube is 4-4.5 cm; petals broadly
linear, 3 cm. Lateral staminodes are linear lanceshaped, 2 cm. Lip is
oblong-wedge-shaped, bifid with tapering lobes. Stamen are 5-6 cm long.
White Star Ginger is found in Bhutan, NE India to Indo-China.  
"
Jointed Hedyotis,Hedyotis articularis,Rubiaceae," Jointed Hedyotis is a large shrub to small tree,
with bark brownish, smooth, blaze cream. Young branchlets are angular,
hairless. Leaves are simple, oppositely arranged, clustered at twig
ends, stipule laciniate, interpetiolar, fused at base, falling off and
leaving scar, hairless. Leaf-stalks are about 0.2 cm long, planoconvex
in cross section, hairless. Leaf blade is 1.2-3 x 0.2-0.7 cm,
ovate-lanceshaped, with blunt tip, base narrow to flat, margin entire
and curled, leathery, hairless beneath, midrib slightly canalled above,
secondary nerves 4 pairs, not prominent. Flowers are borne in compact
cymes, at branch ends. Flowers are nearly stalkless, lilac outside and
white inside. Capsule is obovate, hairless with crown of persistent
sepals, seeds 2. Jointed Hedyotis is endemic to the southern Western
Ghats- Nilgiri, Anamalai, Palani and Palakkad hills.  
"
Blue Hedyotis,Hedyotis cyanantha,Rubiaceae," Blue Hedyotis is an erect annual herb, branching
below; root-stock stout, branching; stem 6-18 cm long, stiff, round,
setaceous. Leaves are simple, stalkless, opposite or whorled, 1-1.5 x
0.2 cm, linear, aristate at tip, leathery, dotted, rigid, curled at
margin, setaceous above and along midrib below; Flowers are borne in
clusters in leaf-axils or at branch-ends, which are head-like cymes
with 3-4 flowers. Flowers are stalkless or shortly stalked, 4-5 mm
long; flower-stalk up to 1 mm long. Hypanthium is spherical, 0.7-1 mm
long. Calyx limb 0.5-1 mm long, setaceous; sepals 4, 1-1.5 x 0.1-0.12
mm, triangular-lanceshaped, aristate at tip. Flower are 3-4 mm long,
blue; tube 1-1.5 mm long, hairless inside; lobes 4, 2.5-3 x 1 mm,
lanceshaped to linear-lanceshaped, 3 nerved, minute finely velvet-hairy
inside, incurved at tip. Stamens 4, protruding, longer than flower
lobes; filaments 3-3.5 mm long, attached near sinus of flower lobes,
fringed with hairs at base; anthers oblong, 0.5-0.8 mm long. Ovary
0.5-0.8 mm long, ovules many; style slender, 4-5 mm long; stigma bifid,
0.5-1 mm long, linear, feathery. Capsules spherical or ovoid, 2-4 x
1.5-2 mm, notched at tip, subleathery, ribbed, dotted setaceous, with
rigid calyx teeth, loculicidal on crown only; seeds 40-70, 0.1-0.15 mm,
triangular, narrowly winged, netveined, very often round. Blue Hedyotis
is found in Peninsular India and Sri Lanka.  
"
Purple Hedyotis,Hedyotis purpurascens,Rubiaceae," Purple Hedyotis is a small woody erect shrub, with
branches having prominent leaf scars. Leaves are ovate-lanceshaped,
blunt or somewhat pointed, base narrow, hairless, leathery, up to 6 cm
long, about 1.5 cm broad. Stipules are comblike. Flowers are purple,
borne in many-flowered corymb-like clusters a branch-ends. Sepal-tube is long
and sepals are oblong blunt, purplish. Flowers are 5 mm long with small
petals. Capsules are 8-10 mm long, with the enlarged calyx, narrowly
ellipsoid, cells many seeded. Purple Hedyotis is found in Peninsular
India. Flowering: October-December. 
"
Travancore Hedyotis,Hedyotis travancorica,Rubiaceae," Travancore Hedyotis is a small undershrub with
solitary flowers and white branchlets.	It is a small species with
branches woody, diverging, white when old, youngest only pointedly
4-angled. Leaves are clustered towards the end of the branches, green
when dry, 1-2 cm, rather leathery, short-stalked, elliptic, pointed or
tapering, nerves indistinct, stipules semi-round pectinate.
Flower-cluster-stalks are shorter than the leaves, thread-like. Flowers
are solitary, 8 mm long, without bracts. Calyx-tube not produced above
the ovary. Flowers are funnel-shaped, hairless except the woolly mouth.
Capsules are hairless with stiff erect calyx-teeth, cells few-seeded.
Sepals are elongate needle-tipped, longer than the capsule.  Travancore
Hedyotis is found in Western Ghats, in the Travancore and Tirunelveli
regions of Tamil Nadu. Flowering: October-December. 
"
Lahaul Sweetvetch,Hedysarum astragaloides,Fabaceae," Lahaul Sweetvetch is a plant about 2 ft tall. Stem
is densely velvet-hairy. Leaves are compound, 10-20 cm long, Leaflets
are 21-29 in number, 1.8-2.5 cm long, linear-oblong, blunt, mucronate,
smooth above, velvety below. Flowers are borne in 5-7.5 cm long dense
racemes. Bracts are linear, longer than the bud. Flower-stalks are
shorter than the calyx. Calyx is 6-8 mm, silky velvety, teeth longer
than the cup. Flowers are reddish, keel longer than the vexillum. Fruit
is stipitate, 1-2 jointed, joints oblong, membranous, wing crisped on
the lower side and obscure above.
Lahaul Sweetvetch is found in Kashmir and Lahaul, at altitudes of
3000-4000 m. Flowering: June. "
Kumaon Sweetvetch,Hedysarum kumaonense,Fabaceae,"
Kumaon Sweetvetch is a low-growing, pretty, perennial herb, 7-12 cm tall. 
Stems are short and not noticeable. Compound leaves are 7-10 cm long, with 
13-25 closely spaced leaflets. Leaflet blades obovate to elliptic-ovate, 
7-10 X 5-7 mm. Purple-pink flowers occur in dense racemes which long ovoid, 
with many flowers. Sepals tube is bell shaped, 6-8 mm, grayish hairy. 
Pea-like flowers are pinkish purple; standard obovate, 1.2-1.4 cm; wings 
slightly shorter than standard; keels 1-2 mm longer than standard. It is 
found on the grassy mountain slopes at altitudes 3500-3600 m.
Flowering: June-July."
Long-Keel Sweetvetch,Hedysarum microcalyx,Fabaceae," Long-Keel Sweetvetch is a herb 1.5-2 ft long. Stem
is grooved, hairless. Leaves are compound, 15-20 cm long, leaflets
11-13, 2.5-3.8 cm long, oblong-lanceshaped, blunt to somewhat pointed,
hairless on both sides. Pink-red flowers are borne in 5-10 cm long
racemes, with linear bracts. Flower-stalks are 3-4.5 mm long. Sepal cup
is 3-3.5 mm long, hairless, teeth triangular, shorter than the tube.
Flowers are bright red, 1.5-2.0 cm long. Keel exceeding the standard
petal. Pods are 2-3 jointed, joint about 1.2-1.6 cm long, membranous,
entire, both edges are distinctly margined. Long-Keel Sweetvetch is
found in Western Himalayas, Pakistan, Kashmir, N.Punjab, Garhwal, at
altitudes of 2700-4400 m.
Flowering: June-August. "
Helen's Flower,Helenium autumnale,Asteraceae," Helen's Flower is a charming, daisy-like flower, native to North America, 
where it is usually found in moist, low ground. In India it is cultivated 
as a garden plant in colder mountain regions.
Helen's Flower grows 1 to 5 feet tall, and has many elongated, lance-
shaped leaves, up to 6 inches long. In late summer and fall, it bears  
daisy-like flower heads with fan-shaped, drooping ""petals"" (ray-florets). 
The wedge-shaped, yellow ""petals"" end in three teeth. The flower is 
characterized by a prominent greenish-yellow, raised, ball-like  center, 
formed by disk florets. Common Sneezeweed is cultivated as a garden 
perennial. There are mutiple named varieties varying in color and height. 
""Pumilum Magnificum"" is a yellow variety about two feet tall. ""Bruno,"" a 
reddish brown cultivar, ""Copper Spray,"" which is orange, and ""Butterpat,"" 
which is golden, all grow 3 to 3 1/2 feet tall. ""Chippersfield Orange"" is 
3 1/2 to 4 feet tall and is gold. The common name Sneezwort is based on 
the former use of its dried leaves in making snuff, inhaled to cause 
sneezing that would supposedly rid the body of evil spirits.
Flowering: August-November."
Sunflower, Helianthus annuus, Asteraceae,"
In Greek ""helios"" means sun and ""anthos"" means flower, thus Sunflower. The
name is just apt for a plant that turns its flower to face directly into the
sun as it passes and also looks like the sun in its yellow rays.
Helianthus annuus is a highly variable species that is indigenous to North
America. There are so many different-looking cultivars of sunflower that it's
hard to make generalizations about the whole species. Most sunflowers are tall
8-15 ft (2.4-4.6 m); most have rough-hairy oval to heart shaped leaves; most
have large flowerheads 8-12 in (20-30.5 cm) across; and most have yellow ray
florets and purplish brown disk florets. The ray florets of sunflowers are
sterile, and only the disk florets produce seeds. All the sunflower cultivars
are fast-growing annuals, and many are rather rank coarse-textured plants.
Sunflowers are easy to grow in any well-drained, neutral to slightly alkaline
soil. Add lime if your soil is acidic."
Silverleaf Sunflower,Helianthus argophyllus,Asteraceae," Silverleaf Sunflower is a coarse annual herb 1.5-2 m tall. Stems are 
densely white-velvety. Leaves are ovate to ovate-lanceshaped, 15-25 cm long 
and nearly as broad, densely white-wooly-silky with long silky hairs. Ray 
florets are 15 or more, 2.5-3.5 cm long, yellow to orange-yellow. Disk 
florets are usually deep purple. Achenes are 4-6 mm long. Silverleaf 
Sunflower is native to North America, cultivated as a garden plant in India. "
Butterfly-Bush Golden Cudweed,Helichrysum buddleioides,Asteraceae," Butterfly-Bush Golden Cudweed is a shrub or
undershrub, up to 4 m tall, sometimes scrambling; stems greyish white
woolly. Leaves are ovate-lanceshaped or oblong-oblanceoate, base nearly
stem-clasping, pointed-tapering or blunt and sometimes hooked at tip,
margins recurved, 1-7 x 0.5-2 cm, upper surface hairless or sparsely
woolly hairy, lower surface with dense white or cottony tomentum, 3-7
nerved. Flower-heads are borne in dense corymbs at branch-ends, in
spherical clusters, 2-2.5 mm across. Flower-cluster-stalks are very
small, 0.2-1 mm long, densely woolly woolly. Involucral bracts are
yellow-pale yellow, 4-many-seriate, enveloped in woolly tomentum; outer
obovate, brown at base; inner inverted-lanceshaped, brown at basal end.
Ray florets female, with thread-like flower, 1 - 2.5 mm long, obscurely
or 4 toothed. nisc florets bisexual, with flower 1 - 2 mm long,
5-toothed. Achenes about 0.3 mm long. Pappus hairs are white.
Butterfly-Bush Golden Cudweed is found on Deccan Plateau, up to 2500 m
elevation, in Tamil Nadu and Karnataka, and Sri Lanka. Flowering:
March. 
"
Weedy Cudweed,Helichrysum luteoalbum,Asteraceae," Weedy Cudweed is a spreading perennial herb with grey foliage, up to 70 cm 
tall. The leaves are long and narrow, 2.5–5.5 cm long, 0.2–0.6 cm broad, 
gradually reduced in size upwards. Leaves are white-woolly or densely 
cobwebby above. Plants may reach a diameter of 50 cm. In spring and summer 
plants become covered in cream yellow flower heads. Flower-heads are ovoid, 
3.5–5 mm in diameter, 5–40 arranged in simple or compound corymbs, often 
clustered. Flowering: March-April.  "
Cape Gold,Helichrysum splendidum, Asteraceae,"
 The name Helichrysum is derived from Greek word Helios meaning sun and
chrysos meaning gold, referring to the bright yellow colour of the flower
heads.
Cape Gold  is indeed a splendid shrub with shining, silver-grey foliage and a
mass of golden everlasting flowers in midsummer.
A fast growing shrub, it can grow to 1.5 m x 1 m within 2 years, forming a
dense grey mound. The stems are covered with a thick felt of woolly white
hairs. The soft young leaves are also covered with grey woolly hairs. The
leaves are aromatic with a slight camphor scent when rubbed.The compact flower
heads at the tip of the stems are densely packed with small everlasting
flowers. The tight buds of bright yellow papery bracts open slowly over
several weeks to reveal the darker yellow flowers in the centres. The flowers
have a slight sweet perfume. Cape Gold is found in Southern Africa."
Nilgiri Everlasting,Helichrysum wightii,Asteraceae," Nilgiri Everlasting is an interesting species of
paper daisy which comes from South India. It is a herb upto 30 cm tall,
usually branched; stems stout, covered with somewhat rusty brown-white,
appressed, dense woolly velvety hairs. Leaves of flowerless branches
are clustered, linear-lanceshaped, 3-6 x 0.3-0.7 cm; those of the
flowering branches alternate, linear, base nearly stem-clasping,
pointed and slightly recurved at tip, margins recurved, 1.4-4 x 0.2-0.6
cm; thick, densely woolly on both surfaces; nerves 3-5, prominent,
closely set, parallel raised on lower surface, stalkless. Flowers-heads
are borne in subspherical, corymbose clusters, about 2 mm across;
flower-cluster-stalk about 2 mm long, densely clothed with
ferrungineous woolly growth. Involucral bracts scarious, 3-4-seriate;
of the outermost whorl elliptic, suffused with charred brown, specially
towards the lower end, covered with dense woolly pubescence. Ray
florets with thread-like flower, about 1.8 mm long, minutely toothed.
Disc florets with flower about 2 mm long, 4-5-toothed. Achenes about
0.3 mm long, round, subcompressed, papillose. Pappus hairs white,
minutely bristly. Nilgiri Everlasting is endemic to Western Ghats.
Flowering: November-April. 
"
Robust Helicia,Helicia robusta,Proteaceae," Robust Helicia is a small tree, 6-11 m tall, bark pale
brown; branches hairless. Flowers are borne in short racemes laterally
or in leaf-axils. Rachis is 6-8 cm long. Bracts are minute, linear,
fringed with hairs on margins. Flowers are dense, usually 2 or more for
each bract; flower-stalks of pairs fused, 0.4-0.5 cm long. Flower tube
is slender, 1-1.3 cm long, splitting into 4-lobes in full length and
curled back. Stamens are 4, attached with a short filament to the blade
of the lobe; anthers about 0.2 cm long, linear; connective produced to
a short appendage. Ovary is 1-celled, ovules 2; style as long as
perianth tube; stigma linear, thick.  Leaves are 4-6 x 2-3.5 cm,
elliptic-inverted-lanceshaped, slightly tapering at tip, narrowed at
base, toothed on margins, sparsely hairy above, hairless below; veins
ending in thickened glands at dentations; leaf-stalks 0.8-1 cm long,
thickened at base. Drupe is spherical, 1-1.5 cm diam., green, 1-2
seeded. Robust Helicia is found in NE India, Bhutan and Vietnam. It is
also found in Western Ghats. 
Flowering: September-February. 
"
Golden Lobster Claw,Heliconia latispatha,Heliconiaceae," Golden Lobster Claw is a plant 2-4 m tall, with a well-developed 
pseudostem. Leaves are 3-5 per shoot, green, longest blade 75-150 cm long, 
18-33 cm broad. Inflorescences are erect, up to 45 cm. Showy bracts are 
spirally arranged, 8-13 per inflorescence, middle bract with outer surface 
orange and red and hairless, 14-19.5 cm, 5--7 cm wide at base. Flowers are 
10-15 per cincinnus, hidden inside the base of bracts. They are green, 
yellow, or orange with dark green sepal margins, sometimes sparsely 
puberulent along fused sepal margins, 3.5-4.6 cm, 7-8 mm wide at gibbous 
base, nearly straight. Fruits are blue in color. Golden Lobster Claw is 
native to C. America and S. America, widely cultivated world over. "
Parakeet Flower, Heliconia psittacorum,Heliconiaceae,"
Parakeet Flower is one of the most popular type of heliconia, probably due to
the fact that it is one of the easier heliconias. It is also one that
resembles most to the birds-of-paradise. The inflorescences of parakeet
flower are very striking. The reddish pointed structures are called bracts.
These tough,
leathery structures protect the actual flower, which is yellow and quite
delicate. The hummingbird that comes to this flower has a bill precisely
shaped to fit into the flower. The heliconias bloom all the summer and they
are great cut flowers, lasting 2 to 3 weeks.Heliconias are heavy feeders, and
need rich humic soil. They also make great container plants."
Heliconia Golden Torch, Heliconia psittacorum x spathocircinata ,Heliconiaceae,"
Heliconias are native to tropical America, and while a few can be found in
seasonally dry locations, most come fro moist and wet regions. Growing from
rhizomes, they have erect shoots, each composed of a stem and leaves and
terminated by an inflorescence of brilliant color, which comes from bracts
rather than the actual flower. 
This particular hybrid originated in Andromeda Botanic Gardens in Barbados.
It is a herbaceous plant growing about 1.5-2m tall. The leaves are dark-green,
broadly-lanceshaped, resembling that of banana. the inflorescence is erect,
comprised of orange to red-colored bracts and golden flowers.
The bracts are spirally arranged along the orange to golden-colored rachis.
"
Lobster Claw,Heliconia rostrata,Heliconiaceae,"
Of all the Heliconias around you will probably be most familiar with this one.
Heliconia rostrata is one of the most recognized and widely grown species, but
that doesn't take away from the fact that it is still considered one of the
most beautiful. 
Heliconia rostrata has a pendent inflorescence, the bracts are red with
greenish yellow edges. Each bract resembles a lobster's claw, hence the 
common name. It is a very popular species, and one of the more
common in cultivation. 
The inconspicuous yellow flowers emerge from claw-shaped bracts
on magnificent, up to 3 feet long, pendent, zigzagged inflorescences. 
The leaves are simple, alternate, long-stalked, and have
green, lanceshaped leaf blades that are easily shredded by the wind. The
pseudostems (formed by the leaf sheaths) emerge from underground rhizomes.
The mature plant normally starts to flower in the summer. The flowers last a
long time and make an excellent cut flower.  ."
Erect Lobster Claw,Heliconia stricta,Heliconiaceae," Native to Bolivia and adjoining region, Erect Lobster Claw
is a shrub which 
grows in clumps to 6 ft with a spread of 5 ft. It has 6 ft long banana-like 
leaves. Unlike other Heliconias which have hanging flowers, this one has 
erect inflorescence. Each inflorescence has red or orange bracts edged with 
green. It blooms all year and can be planted in full sun to semi-shade. 
Propagation is by clump division, or rhizome. "
Lanceleaf Helinus,Helinus lanceolatus,Rhamnaceae," Lanceleaf Helinus is a shrub which climbs by means of
unbranched tendrils, branches ribbed, smooth, younger parts slightly
hairy. Leaves are lanceshaped, 2.5-6 x 1-2.5 cm, leaf-stalk 3-5 mm
long; stipules minute, dark brown. Bright yellow flowers are borne in
3-9-flowered, umbel-like cymes in leaf-axils, with 1-3 cm long
flower-cluster-stalk. Petals are about 2.5 x 2 mm, more or less
spoon-shaped, folded around and enveloping the filament. Flower-stalks
are 3-6 mm long, thread-like. Sepals are about 2 x 6 mm, tapering,
keeled within, hypanthium about 2 mm long. Stamens are about 3 mm long,
anthers about 1 mm long. Styles 3, about 1.5 mm long. Fruit is capsular
5-7 mm in diameter. Lanceleaf Helinus is found in Pakistan, Western
Himalayas, from Kashmir to Nepal, at altitudes of 400-900 m. 
Flowering: All year. 
"
Bracted Heliotrope,Heliotropium bracteatum,Boraginaceae," Bracted Heliotrope is an erect herb, upto 50 cm tall,
with branchlets velvet-hairy. Leaves are 3-4 x 0.5 cm,
linear-lanceshaped, tip pointed, base wedge-shaped, margin curled;
leaf-stalk to 4 mm. Flowers are bonre in cymes at branch-ends. Flowers
are white, sepals 5, 2.5 mm, ovate-obovate; flower 2.5 mm across,
flat-faced, petals up to 1.5 mm, broadly ovate; stamens 5, anthers to 1
mm, ovate-heart-shaped, ovary spherical. Drupes are 2 mm across,
4-lobed, hairy; seeds spherical. Bracted Heliotrope is	found in India,
Sri Lanka, Indonesia and Australia. Flowering: July-December. 
"
Seaside Heliotrope,Heliotropium curassavicum,Boraginaceae," Seaside Heliotrope is a prostrate or ascending fleshy perennial herb, 
growing to about 25 cm long. It is characterized by fleshy glaucous leaves,
appearing blue-green to yellowish gray-green. They are narrow, obovate, up 
to about 4 cm long. Shoots form sprawling clumps emerging from a perennial 
taproot. Shoots also spread from lateral roots. Like all heliotropes, the 
flowers are born has coiled branches. They are waxy or dull white, with a 
yellow throat, but turn blue- or maroon-tinged on maturity. Seaside 
Heliotrope is found in high tidal marsh and often in silty or sandy 
sediment. Seaside Heliotrope is native to the American continents, but 
widely naturalized throughout the tropical world. "
Seaforth Heliotrope,Heliotropium marifolium,Boraginaceae," Seaforth Heliotrope is a rough herb, with branches
procumbent, radiating from the rootstock. Leaves are 6-12 x 3-14 mm,
lanceshaped to elliptic, base and tip pointed, strigosely hairy, nearly
stalkless. Flowers are borne in in leaf-axils and at branch-ends in
few-flowered short cymes up to 2.5 cm long. Sepals are 5, about 2 mm
long, triangular. Flower are white, about 3 mm long, salver-shaped,
hairy at throat. Stamens are 5, included, nearly stalkless. Ovary
4-lobed; style short, about 0.5 mm long. Stigma conical. Fruit is
4-lobed, shorter than the persistent calyx, spherical, eventually
separating into 4 nutlets. Seaforth Heliotrope is found in Peninsular
India and Sri Lanka. 
"
